id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
98,HOG,南昌南,nanchangnan,ncn,1104,南昌,cn,中国,115.950071,28.500238,amap,2026-04-09 05:58:27.712282+00:00,2026-04-08 08:39:59.331902+00:00,2026-04-09 05:58:27.712282+00:00
99,NCZ,宁村,ningcun,nc,1607,南宁,cn,中国,108.337079,22.55673,amap,2026-04-09 05:58:28.700624+00:00,2026-04-08 08:39:59.332273+00:00,2026-04-09 05:58:28.700624+00:00
100,NXG,南昌西,nanchangxi,ncx,1104,南昌,cn,中国,115.792516,28.624876,amap,2026-04-09 05:58:29.694424+00:00,2026-04-08 08:39:59.332601+00:00,2026-04-09 05:58:29.694424+00:00
101,NJH,南京,nanjing,nj,0705,南京,cn,中国,118.79751,32.087125,amap,2026-04-09 05:58:30.699845+00:00,2026-04-08 08:39:59.332931+00:00,2026-04-09 05:58:30.699845+00:00
102,NKH,南京南,nanjingnan,njn,0705,南京,cn,中国,118.796786,31.970968,amap,2026-04-09 05:58:31.716013+00:00,2026-04-08 08:39:59.333314+00:00,2026-04-09 05:58:31.716013+00:00
103,ULZ,那罗,naluo,nl,1607,南宁,cn,中国,108.277318,22.730769,amap,2026-04-09 05:58:32.731729+00:00,2026-04-08 08:39:59.333689+00:00,2026-04-09 05:58:32.731729+00:00
104,NRZ,南宁北,nanningbei,nnb,1607,南宁,cn,中国,108.236839,23.156387,amap,2026-04-09 05:58:33.737879+00:00,2026-04-08 08:39:59.334068+00:00,2026-04-09 05:58:33.737879+00:00
105,NFZ,南宁东,nanningdong,nnd,1607,南宁,cn,中国,108.413527,22.841826,amap,2026-04-09 05:58:34.744016+00:00,2026-04-08 08:39:59.334487+00:00,2026-04-09 05:58:34.744016+00:00
106,NNZ,南宁,nanning,nn,1607,南宁,cn,中国,108.314849,22.826972,amap,2026-04-09 05:58:35.769365+00:00,2026-04-08 08:39:59.334897+00:00,2026-04-09 05:58:35.769365+00:00
107,NXZ,南宁西,nanningxi,nnx,1607,南宁,cn,中国,107.97484,22.88818,amap,2026-04-09 05:58:36.746604+00:00,2026-04-08 08:39:59.335299+00:00,2026-04-09 05:58:36.746604+00:00
108,NPZ,那铺,napu,np,1607,南宁,cn,中国,108.380679,22.415229,amap,2026-04-09 05:58:37.770269+00:00,2026-04-08 08:39:59.335677+00:00,2026-04-09 05:58:37.770269+00:00
109,NQJ,暖泉,nuanquan,nq,2302,银川,cn,中国,106.274151,38.740586,amap,2026-04-09 05:58:38.762464+00:00,2026-04-08 08:39:59.336007+00:00,2026-04-09 05:58:38.762464+00:00
110,PXJ,坡底下,podixia,pdx,2102,兰州,cn,中国,103.514972,36.136932,amap,2026-04-09 05:58:39.764530+00:00,2026-04-08 08:39:59.336394+00:00,2026-04-09 05:58:39.764530+00:00
111,QDM,七甸,qidian,qd,1902,昆明,cn,中国,102.980326,24.931029,amap,2026-04-09 05:58:40.768090+00:00,2026-04-08 08:39:59.336754+00:00,2026-04-09 05:58:40.768090+00:00
112,ZWT,世博园,shiboyuan,sby,0205,沈阳,cn,中国,123.64046,41.862699,amap,2026-04-09 05:58:41.785542+00:00,2026-04-08 08:39:59.337162+00:00,2026-04-09 05:58:41.785542+00:00
113,VVP,石家庄北,shijiazhuangbei,sjzb,0365,石家庄,cn,中国,114.466029,38.065991,amap,2026-04-09 05:58:42.791498+00:00,2026-04-08 08:39:59.337503+00:00,2026-04-09 05:58:42.791498+00:00
114,SXP,石家庄东,shijiazhuangdong,sjzd,0365,石家庄,cn,中国,114.628875,38.049659,amap,2026-04-09 05:58:43.790622+00:00,2026-04-08 08:39:59.337919+00:00,2026-04-09 05:58:43.790622+00:00
115,SJJ,邵家堂,shaojiatang,sjt,2102,兰州,cn,中国,103.866932,36.185781,amap,2026-04-09 05:58:44.816034+00:00,2026-04-08 08:39:59.338290+00:00,2026-04-09 05:58:44.816034+00:00
116,SJP,石家庄,shijiazhuang,sjz,0365,石家庄,cn,中国,114.486628,38.010003,amap,2026-04-09 05:58:45.805644+00:00,2026-04-08 08:39:59.338805+00:00,2026-04-09 05:58:45.805644+00:00
